Available from: "http://www.isa.ulisboa.pt/proj/clipick/climaterequest_fast.php?ar=5&lat=38.7087&lon=-9.1849&mod=hisafe&fmt=csv&tspan=d&sd=01&sm=01&sy=1981&ed=31&em=12&ey=2010&dts=knmievaluation"
Day,Month,Year,tasmax,tasmin,hurs,evspsbl,rsds,pr,sfcWind,VPD,
10,2,1981,12.79,6.54,71.94,0.66,10.19,0.19,5.94,0.45717397747243615,
11,2,1981,13.51,4.66,58.32,0.86,14.53,0.00,5.32,0.36720489195902195,
12,2,1981,11.22,0.70,60.20,0.76,15.45,0.00,2.51,0.16786149868293854,
13,2,1981,11.79,7.14,84.71,0.84,8.64,3.60,3.68,0.14236991171048874,
14,2,1981,12.33,6.30,86.99,0.59,5.43,0.95,6.37,0.09924433938928912,
15,2,1981,10.42,8.44,90.88,0.67,2.78,3.33,6.37,0.23055546678392425,
16,2,1981,16.68,6.63,82.05,1.31,14.84,0.05,3.52,0.24115506367905826,
17,2,1981,15.89,5.75,80.31,1.10,14.28,0.00,2.70,0.25624710664189665,
18,2,1981,11.94,7.80,77.17,0.70,5.42,0.09,2.68,0.239643346435936,
19,2,1981,13.35,7.49,79.46,1.11,9.78,2.37,2.69,0.3383880229048579,
20,2,1981,14.08,5.52,70.36,1.71,16.42,1.34,4.50,0.3636941469845395,
21,2,1981,13.78,2.27,65.42,1.38,17.18,0.00,2.66,0.25763541833759496,
22,2,1981,14.86,2.36,76.54,1.09,15.97,0.00,2.74,0.2614978152713313,
23,2,1981,15.89,5.60,78.58,0.99,14.10,0.02,2.46,0.29996287724207005,
24,2,1981,17.02,3.98,75.65,1.08,17.10,0.00,1.60,0.22061387100928265,
25,2,1981,16.96,6.28,82.87,0.88,15.66,0.09,3.12,0.14993540460651,
26,2,1981,14.95,10.96,88.83,0.26,1.48,2.80,5.11,0.06416443895648549,
27,2,1981,17.08,14.32,95.90,0.97,4.81,17.60,8.60,0.2192529860909318,
28,2,1981,14.72,7.93,82.25,1.22,6.93,0.22,3.50,0.24448042519109914,
1,3,1981,13.49,6.90,78.84,0.84,6.53,0.33,1.41,0.18490638179598096,
2,3,1981,13.84,6.09,83.88,0.80,8.33,0.05,1.58,0.158962352119015,
3,3,1981,14.58,4.89,86.13,0.81,10.27,0.00,1.69,0.09037939776966719,
4,3,1981,15.54,6.99,92.73,0.76,9.22,0.91,2.64,0.12474030969660954,
5,3,1981,15.84,12.91,91.41,0.79,6.99,1.37,4.62,0.10522061576707586,
6,3,1981,17.24,12.33,92.96,1.03,9.09,1.49,2.74,0.1307064812995551,
7,3,1981,17.90,10.95,91.15,1.11,10.94,0.25,2.78,0.051501098304366444,
8,3,1981,17.37,13.17,96.64,0.59,5.58,0.95,2.39,0.27864132590297874,
9,3,1981,23.30,13.58,85.16,1.82,16.05,0.14,2.16,0.4031792962140286,
10,3,1981,22.28,11.49,76.77,1.84,16.74,0.00,3.54,0.2506771696879999,
11,3,1981,20.44,10.42,84.25,1.50,16.66,0.00,4.20,0.16493095397727453,
12,3,1981,17.66,10.90,88.73,1.24,12.90,0.30,3.36,0.4123075566386508,
13,3,1981,16.86,10.14,70.54,1.70,16.34,0.00,3.25,0.3377128698876912,
14,3,1981,16.26,7.64,73.90,1.33,14.57,0.00,4.31,0.41356885337240445,
15,3,1981,17.03,5.79,67.64,1.55,18.87,0.00,2.86,0.499115847795385,
16,3,1981,18.59,6.36,63.56,1.53,17.78,0.00,2.64,0.48827054167016604,
17,3,1981,20.08,6.51,66.38,1.57,21.19,0.00,2.95,0.333594106615941,
18,3,1981,16.44,5.85,73.36,1.24,20.02,0.09,1.93,0.2728798411829798,
19,3,1981,15.48,8.87,78.95,0.57,6.08,0.59,3.30,0.2406570979371263,
20,3,1981,16.30,10.23,82.52,0.89,11.46,0.41,2.73,0.3404281083923999,
21,3,1981,16.85,11.54,76.48,0.91,9.45,1.34,6.02,0.15001642000624638,
22,3,1981,16.84,13.95,90.25,0.82,8.18,0.64,5.77,0.1386514339698217,
23,3,1981,17.22,14.07,91.12,0.78,8.73,0.67,4.27,0.15533487073891217,
24,3,1981,17.57,10.21,89.18,1.13,15.53,0.17,2.10,0.13430773290187759,
25,3,1981,16.37,10.03,90.22,0.71,6.86,4.13,3.93,0.27150145490030164,
26,3,1981,16.00,8.95,79.46,1.65,15.99,0.03,1.93,0.0716856701996047,
27,3,1981,15.08,8.83,94.39,0.68,2.35,20.11,6.14,0.09395377858402787,
28,3,1981,16.06,11.17,93.28,1.55,6.43,11.17,6.88,0.25909278189235596,
29,3,1981,14.44,8.68,79.21,2.68,16.74,5.94,7.85,0.30800389193190647,
30,3,1981,14.68,8.66,75.47,1.88,12.77,0.11,8.46,0.2892315435487881,
31,3,1981,16.31,6.87,77.30,2.31,21.80,0.00,4.00,0.11616902170583332,
1,4,1981,15.24,11.12,91.46,1.52,5.29,16.61,7.69,0.2394731470540834,
2,4,1981,16.15,9.55,82.23,1.76,12.55,1.73,4.76,0.2180475997314233,
3,4,1981,15.66,8.39,83.09,1.82,16.63,0.02,2.37,0.28992185677611704,
4,4,1981,16.40,10.09,78.94,2.41,21.53,0.06,1.45,0.23434184923964407,
5,4,1981,16.41,9.79,82.86,1.50,13.85,0.00,1.76,0.16712512672422708,
6,4,1981,16.93,9.55,87.92,1.46,13.94,0.31,2.25,0.1738349356444897,
7,4,1981,18.02,10.67,88.20,1.73,16.65,0.10,1.88,0.3554333382699477,
8,4,1981,21.99,10.97,79.09,2.10,16.11,0.20,2.72,0.22743114227539518,
9,4,1981,25.25,14.42,88.86,1.62,9.98,16.31,4.58,0.14653742910501255,
10,4,1981,17.94,13.90,90.78,1.60,9.50,2.97,6.19,0.19604151026579864,
11,4,1981,17.14,10.65,86.29,1.91,15.83,0.37,2.57,0.21159415542940008,
12,4,1981,16.45,10.86,84.94,1.85,15.19,1.47,2.70,0.2891979532289053,
13,4,1981,16.73,10.55,79.45,1.80,13.68,1.51,4.52,0.2925142030271255,
14,4,1981,17.26,9.13,78.89,2.66,22.97,0.00,2.57,0.33131541200051706,
15,4,1981,16.97,9.47,76.04,2.50,20.78,0.13,5.46,0.26262348927344914,
16,4,1981,15.12,10.90,80.51,1.58,11.22,0.38,7.28,0.2977280896333194,
17,4,1981,17.23,11.92,79.87,2.47,22.34,0.00,7.52,0.31902790547320015,
18,4,1981,18.11,10.19,78.17,2.65,25.04,0.03,4.04,0.28073747699990403,
19,4,1981,15.95,9.83,79.17,2.07,20.85,0.02,2.87,0.21601338649624702,
20,4,1981,17.38,9.88,84.74,1.59,16.09,0.13,3.52,0.6029560022252556,
21,4,1981,18.59,8.31,57.71,2.89,27.00,0.00,6.34,0.47293526685672826,
22,4,1981,16.70,6.95,63.46,2.36,27.20,0.00,4.53,0.48051827667080715,
23,4,1981,19.17,7.52,66.45,2.27,27.31,0.00,4.27,0.35288463206656395,
24,4,1981,18.50,8.65,75.35,1.74,26.07,0.00,4.24,0.4384364769415038,
25,4,1981,16.13,8.98,67.00,1.26,13.91,0.42,6.67,0.5066538622944582,
26,4,1981,14.73,7.74,58.81,1.68,25.35,0.02,6.35,0.4291329701867508,
27,4,1981,14.92,6.03,63.94,1.40,24.03,0.02,5.03,0.606478676621507,
28,4,1981,18.46,6.43,55.57,1.72,27.34,0.00,5.03,0.504107965554941,
29,4,1981,18.73,6.64,63.59,1.41,26.96,0.00,4.42,0.3761908606257809,
30,4,1981,19.40,9.72,75.12,1.15,26.27,0.00,4.00,0.3749431713724991,
1,5,1981,20.50,9.00,75.79,1.14,27.63,0.00,3.44,0.46265197085094156,
2,5,1981,19.75,10.75,70.44,0.92,27.34,0.02,6.77,0.7417640679240678,
3,5,1981,22.65,10.56,57.02,1.21,28.51,0.00,5.06,0.5144407014648944,
4,5,1981,20.61,9.74,67.41,0.83,28.28,0.00,6.64,0.8168739958316933,
5,5,1981,28.45,10.15,61.52,1.10,28.39,0.00,5.06,0.6735597371097333,
6,5,1981,26.98,12.53,67.81,0.84,22.12,0.44,4.56,0.30876258464312456,
7,5,1981,17.31,12.92,79.69,1.52,11.83,5.05,6.63,0.24633467928699293,
8,5,1981,15.49,10.02,81.53,2.73,13.13,16.28,5.59,0.36232491089764884,
9,5,1981,14.52,10.00,71.95,3.04,18.78,3.80,7.02,0.29310618783957176,
10,5,1981,15.95,9.75,78.21,2.42,14.65,3.86,6.40,0.33273325481388927,
11,5,1981,16.55,9.03,75.34,2.97,25.75,1.58,3.24,0.3833587114691197,
12,5,1981,17.19,9.89,72.75,2.58,22.53,0.00,2.63,0.36078419253817007,
13,5,1981,18.84,8.48,75.01,2.79,27.49,0.00,3.19,0.3641219519700789,
14,5,1981,18.53,11.58,76.21,2.01,19.10,0.02,2.96,0.2977167131329794,
15,5,1981,17.95,11.70,80.23,1.68,19.17,0.72,4.78,0.2685677361167549,
16,5,1981,16.62,11.74,81.40,1.18,10.70,0.68,2.90,0.15785413153068273,
17,5,1981,16.41,10.10,88.54,0.83,11.74,0.29,3.82,0.2354945141338074,
18,5,1981,17.90,12.72,84.72,1.73,20.80,0.10,4.06,0.16228013470635183,
19,5,1981,17.93,10.16,88.82,1.05,14.20,0.80,4.84,0.3798978842015821,
20,5,1981,18.57,12.85,75.95,2.09,24.97,0.57,4.60,0.38132980597202093,
21,5,1981,17.76,11.70,74.52,1.79,21.76,0.45,4.03,0.5448871812905214,
22,5,1981,22.01,9.65,67.11,2.05,29.77,0.01,5.12,0.5584630271925217,
23,5,1981,24.82,10.68,70.15,1.69,29.76,0.00,4.96,0.5333007195701682,
24,5,1981,21.68,12.18,69.08,1.20,28.76,0.02,5.39,0.3597733717858418,
25,5,1981,18.63,11.54,76.55,0.65,15.79,0.14,4.52,0.5655475980763458,
26,5,1981,19.39,10.95,63.58,1.05,28.47,0.01,5.75,0.5984432338605936,
27,5,1981,22.23,10.16,64.52,1.06,30.24,0.00,5.47,0.6267065954585682,
28,5,1981,24.35,10.31,65.69,0.95,28.33,0.00,4.63,0.541694916480304,
29,5,1981,23.23,11.60,69.88,0.85,29.84,0.00,3.35,0.424415708694484,
30,5,1981,19.41,14.24,74.71,0.54,19.58,0.01,2.95,0.25672355582805584,
31,5,1981,20.83,13.89,85.26,0.69,13.09,0.63,3.82,0.44253859331870227,
1,6,1981,19.92,16.11,75.22,1.28,14.07,1.92,6.02,0.5509831733553039,
2,6,1981,19.71,14.70,67.84,1.28,20.02,0.55,4.57,0.4793187833469532,
3,6,1981,20.01,12.32,70.69,1.39,20.65,0.59,5.00,0.5000379907814634,
4,6,1981,23.83,11.26,72.60,1.33,28.85,0.00,3.73,0.5196997908248271,
5,6,1981,24.98,14.06,74.12,0.93,29.32,0.00,4.76,0.5177237878748588,
6,6,1981,25.49,14.72,75.00,0.71,29.21,0.00,5.28,0.4242621995954765,
7,6,1981,23.27,13.20,77.20,0.62,29.06,0.02,3.83,0.3588842803811352,
8,6,1981,23.33,18.17,82.78,0.61,16.25,0.39,3.70,0.6187777551673961,
9,6,1981,23.38,14.71,67.92,0.76,26.71,0.04,6.27,0.8166446071210984,
10,6,1981,27.79,13.61,62.82,0.74,30.61,0.00,6.66,1.1818279852235207,
11,6,1981,33.18,14.80,56.59,0.77,30.21,0.00,6.14,1.4578133348068374,
12,6,1981,35.83,17.44,53.29,0.79,30.04,0.00,2.61,1.8429315606802765,
13,6,1981,36.28,20.51,44.67,0.78,29.48,0.00,3.29,2.3788209852152873,
14,6,1981,42.35,22.52,43.84,0.73,27.64,0.01,5.82,1.7128956132175905,
15,6,1981,34.83,20.11,45.60,0.70,30.14,0.00,3.63,1.4428725193883953,
16,6,1981,31.99,20.19,49.68,0.61,29.64,0.00,4.17,1.8531847980279204,
17,6,1981,36.47,21.34,45.49,0.71,29.77,0.00,2.98,1.275220572046079,
18,6,1981,32.88,20.13,56.77,0.58,29.99,0.00,3.20,1.2382873281425673,
19,6,1981,31.48,20.02,55.94,0.59,29.88,0.00,3.19,0.8962537957047936,
20,6,1981,31.70,18.98,67.71,0.50,28.04,0.09,3.53,0.43631435668762575,
21,6,1981,23.21,17.38,78.59,0.66,20.73,0.48,3.90,0.5900517769852349,
22,6,1981,25.28,15.97,72.04,0.60,29.56,0.00,4.10,0.6153858438007951,
23,6,1981,23.86,16.91,70.09,0.43,22.92,0.02,4.33,0.9299820417663143,
24,6,1981,28.61,17.16,61.51,0.54,29.16,0.00,5.33,1.0328818190308457,
25,6,1981,29.37,16.36,57.70,0.47,30.45,0.00,8.61,0.6177670057620468,
26,6,1981,22.22,15.15,67.06,0.31,26.24,0.00,9.78,0.795739663913607,
27,6,1981,24.86,16.69,62.36,0.50,26.88,0.13,7.32,0.723113254563845,
28,6,1981,26.79,15.91,67.38,0.48,26.11,0.02,4.74,0.8384890918517109,
29,6,1981,26.40,16.21,61.91,0.48,29.14,0.00,4.39,0.8254419326091229,
30,6,1981,26.90,17.79,64.31,0.46,27.69,0.01,3.05,0.3012876344153528,
1,7,1981,23.73,18.20,85.73,0.91,10.12,4.27,3.13,0.35370303310527906,
2,7,1981,21.11,16.36,81.02,2.23,14.98,3.09,4.58,0.6326445573793329,
3,7,1981,23.10,15.73,67.64,2.43,26.39,0.02,5.61,0.58746244980089,
4,7,1981,25.65,15.81,72.41,1.60,29.30,0.01,6.14,0.6704778769168509,
5,7,1981,25.63,15.52,68.30,0.96,30.05,0.00,6.47,0.7565781684697375,
6,7,1981,28.49,15.58,67.59,0.64,30.21,0.00,7.49,0.6549488853817831,
7,7,1981,27.02,16.16,70.83,0.44,29.69,0.01,6.89,0.6550887815877331,
8,7,1981,24.36,15.69,67.81,0.37,29.25,0.00,7.12,0.6991549450721832,
9,7,1981,23.13,16.21,64.66,0.40,25.34,0.09,7.99,1.0706845847303756,
10,7,1981,29.50,15.37,55.55,0.49,30.12,0.00,8.25,1.8128487213495263,
11,7,1981,36.17,16.39,41.71,0.61,30.30,0.01,6.56,2.124276925532211,
12,7,1981,38.04,17.60,37.29,0.60,30.40,0.00,5.80,1.6395552333540053,
13,7,1981,35.12,18.95,47.42,0.50,29.65,0.00,4.60,1.5159354799387412,
14,7,1981,32.19,20.62,47.91,0.48,29.39,0.00,4.10,1.3596325185730267,
15,7,1981,32.50,20.07,53.27,0.46,29.08,0.00,4.09,1.508028354372209,
16,7,1981,34.72,19.97,51.81,0.51,29.07,0.00,4.37,1.228317598645743,
17,7,1981,32.58,18.63,56.77,0.41,29.71,0.00,7.11,1.6285292557381916,
18,7,1981,33.56,16.57,42.63,0.45,29.59,0.00,7.89,2.5527736135012242,
19,7,1981,37.06,20.96,25.93,0.55,29.78,0.00,6.07,1.8266007180940849,
20,7,1981,36.19,19.13,43.73,0.49,29.14,0.00,4.84,1.3495646226518017,
21,7,1981,32.61,18.84,52.73,0.43,29.25,0.00,4.23,0.8548737360928789,
22,7,1981,27.57,17.11,63.33,0.30,29.35,0.00,9.52,0.9183971544834333,
23,7,1981,26.67,16.56,58.95,0.32,29.86,0.00,8.89,1.3305455710354213,
24,7,1981,32.06,15.81,49.93,0.41,29.80,0.00,8.40,1.5431723925999763,
25,7,1981,33.07,16.03,44.19,0.43,29.55,0.00,6.61,1.4656080546595232,
26,7,1981,32.51,17.31,47.08,0.41,27.91,0.00,4.92,1.8102276220530307,
27,7,1981,37.48,19.54,47.04,0.48,28.30,0.00,3.89,1.8945146540189497,
28,7,1981,38.06,18.87,45.14,0.49,28.56,0.00,2.53,1.7264488435879324,
29,7,1981,35.28,19.89,45.80,0.41,25.27,0.20,3.27,0.8242378499804159,
30,7,1981,27.56,17.76,65.10,1.02,18.90,1.34,3.83,0.5045592393990288,
31,7,1981,23.42,17.88,75.69,0.77,16.32,0.34,5.02,0.5002272825215497,
1,8,1981,24.53,18.60,77.10,0.74,17.39,0.50,5.51,0.6784348287172466,
2,8,1981,25.89,17.33,69.39,0.61,26.01,0.01,6.13,1.2063122209460106,
3,8,1981,33.59,17.02,57.86,0.54,28.09,0.00,5.67,1.1728963668779053,
4,8,1981,30.10,19.56,55.94,0.38,27.89,0.00,3.76,1.5088841329232339,
5,8,1981,35.97,20.19,53.97,0.45,27.63,0.01,3.94,1.2130672445681299,
6,8,1981,33.25,19.67,59.04,0.35,25.82,0.00,4.12,1.141134194890932,
7,8,1981,32.44,18.91,59.85,0.38,27.38,0.00,3.25,0.7932653925185407,
8,8,1981,29.84,18.82,69.50,0.29,27.02,0.00,4.82,0.6776258602684946,
9,8,1981,27.73,17.73,71.45,0.31,27.03,0.00,2.18,0.9091300204982444,
10,8,1981,30.08,18.42,65.05,0.35,27.16,0.01,2.16,0.48572909153732713,
11,8,1981,26.77,17.59,78.82,0.30,25.33,0.05,2.83,0.8735707412140652,
12,8,1981,29.86,19.31,66.76,0.29,20.05,0.00,2.68,2.1703366519884773,
13,8,1981,40.58,21.18,44.43,0.50,24.88,0.00,2.66,2.5315475196310917,
14,8,1981,39.66,23.52,35.50,0.54,24.79,0.11,4.11,1.472309887864966,
15,8,1981,33.81,20.91,52.30,0.31,25.75,0.01,4.29,0.7617429546191823,
16,8,1981,26.63,19.12,67.72,0.28,26.07,0.01,3.04,0.5371459673599419,
17,8,1981,24.46,18.71,75.42,0.26,25.28,0.02,3.73,0.4964654396846182,
18,8,1981,25.28,17.22,77.10,0.26,25.87,0.01,3.17,0.5679511859064115,
19,8,1981,23.77,19.11,73.71,0.25,21.97,0.07,3.43,0.5626082902349248,
20,8,1981,24.23,17.46,73.31,0.26,14.64,0.05,3.99,0.5463737618546936,
21,8,1981,24.15,16.93,73.70,0.34,23.60,0.54,2.97,0.37143927079959127,
22,8,1981,22.91,18.06,81.90,0.46,14.63,0.14,4.35,0.3773023777862956,
23,8,1981,23.89,18.78,82.46,0.69,14.59,0.66,3.06,0.6516847350836168,
24,8,1981,29.30,17.32,73.73,0.63,24.81,0.01,4.86,0.48064667409121564,
25,8,1981,27.70,18.45,80.03,0.29,16.81,0.01,3.53,0.4270037351910061,
26,8,1981,26.38,17.83,81.24,0.36,23.32,0.09,2.65,0.7113643576446385,
27,8,1981,29.91,17.11,71.80,0.39,24.20,0.06,4.30,0.7224375083756727,
28,8,1981,27.98,17.32,69.56,0.26,24.44,0.00,6.32,0.6372231213886583,
29,8,1981,26.21,17.27,71.51,0.22,22.14,0.00,5.53,0.5956175747733674,
30,8,1981,23.87,16.91,71.06,0.22,20.66,0.00,4.55,0.5287028775039426,
31,8,1981,22.74,16.43,73.08,0.17,12.93,0.02,3.92,0.6118619700790122,
1,9,1981,24.88,15.65,70.42,0.25,22.49,0.00,4.68,0.8204700297236427,
2,9,1981,28.78,16.48,65.79,0.28,23.66,0.00,6.33,1.2744271024264435,
3,9,1981,34.28,16.49,56.19,0.37,23.95,0.00,3.83,0.6013944818924226,
4,9,1981,26.99,17.05,73.67,0.23,23.35,0.00,2.71,1.0224980671182595,
5,9,1981,31.32,17.19,61.44,0.31,22.96,0.01,2.49,0.734358520709393,
6,9,1981,28.06,17.98,69.55,0.25,21.62,0.01,2.88,0.9062712280143586,
7,9,1981,30.12,17.65,64.69,0.28,22.16,0.00,3.18,0.8942903187624978,
8,9,1981,31.61,17.91,67.04,0.68,15.01,0.89,3.22,0.6318458355789753,
9,9,1981,28.64,17.85,74.23,0.90,22.25,0.58,4.81,0.587761477028995,
10,9,1981,24.14,18.26,72.55,0.40,19.08,0.02,4.14,0.36027190727755287,
11,9,1981,25.32,19.32,84.17,0.77,14.03,1.10,2.94,0.48657248760177074,
12,9,1981,25.04,18.91,78.23,0.53,16.28,0.02,2.36,0.9602159953998752,
13,9,1981,29.39,16.71,60.96,0.51,21.36,0.00,3.15,0.8683395483457153,
14,9,1981,29.47,16.48,64.64,0.33,21.55,0.00,2.28,1.0768635999493688,
15,9,1981,32.15,16.29,59.93,0.31,21.30,0.00,2.32,1.4229638259176078,
16,9,1981,33.16,21.07,53.04,0.30,20.34,0.00,2.77,1.1705979688998938,
17,9,1981,32.43,18.67,58.62,0.27,20.88,0.00,3.47,0.8748209164664031,
18,9,1981,30.33,18.50,66.70,0.22,18.01,0.00,4.63,0.829011147837432,
19,9,1981,31.00,17.87,68.78,0.24,20.50,0.00,4.04,0.38566260828604504,
20,9,1981,23.67,18.20,81.70,0.16,12.97,0.17,4.00,0.22991825480764483,
21,9,1981,20.57,14.51,86.88,1.44,5.41,17.64,3.51,0.5085954807099977,
22,9,1981,20.93,14.51,71.31,2.49,15.32,0.04,4.77,0.49792380707386763,
23,9,1981,23.14,14.64,73.94,2.46,19.75,0.00,5.63,0.43825463361140216,
24,9,1981,21.98,15.02,76.38,2.00,19.81,0.05,4.54,0.2644431051591014,
25,9,1981,21.50,18.28,86.63,1.21,6.04,3.82,7.22,0.4808598297900264,
26,9,1981,20.10,15.14,72.57,2.85,13.38,7.15,6.92,0.42050202319036845,
27,9,1981,19.88,14.79,75.64,1.89,10.38,0.84,4.06,0.3681688553919762,
28,9,1981,21.28,14.06,79.25,1.80,16.41,0.00,1.48,0.3384599964583266,
29,9,1981,25.22,15.50,83.77,1.87,17.99,0.00,2.41,0.4847507676541718,
30,9,1981,26.74,15.67,77.99,1.84,18.18,0.00,2.57,0.571522039840819,
1,10,1981,21.10,17.29,70.02,1.39,10.82,0.52,4.96,0.5597523787727918,
2,10,1981,20.82,17.17,70.30,1.08,11.48,0.12,4.71,0.20524430741572286,
3,10,1981,20.89,16.83,89.04,1.17,4.71,4.43,6.20,0.24448139374823552,
4,10,1981,21.35,17.00,87.18,1.08,7.70,1.66,6.32,0.2567599239244984,
5,10,1981,20.40,17.30,86.25,2.29,9.83,22.30,6.67,0.3564489348825839,
6,10,1981,19.74,13.57,78.64,1.89,12.24,0.61,3.23,0.4619025976986004,
7,10,1981,23.16,12.02,74.47,2.40,17.49,0.00,3.63,0.3341498299884369,
8,10,1981,22.81,15.15,82.52,1.77,13.06,0.17,2.80,0.4553329410841951,
9,10,1981,22.80,15.35,76.28,2.21,16.56,0.14,4.49,0.41730040618527164,
10,10,1981,24.17,14.56,78.86,1.90,17.02,0.01,4.40,0.34039059668696137,
11,10,1981,23.39,15.00,82.47,1.58,16.97,0.00,5.34,0.32031024981809275,
12,10,1981,24.34,16.07,84.38,1.43,15.92,0.00,5.42,0.4224622300616021,
13,10,1981,26.32,16.09,80.71,1.51,16.31,0.00,5.44,0.41123656073201365,
14,10,1981,24.76,14.59,79.59,1.34,16.46,0.02,4.50,0.3890628562190044,
15,10,1981,22.54,12.40,78.20,1.15,16.45,0.00,3.20,0.138998417873329,
16,10,1981,18.36,12.66,91.10,0.57,6.69,0.88,2.77,0.1943317938449014,
17,10,1981,20.92,15.93,89.40,1.00,8.12,6.32,5.85,0.19656620165329386,
18,10,1981,20.57,14.31,88.73,1.41,8.87,3.53,3.01,0.3459613515429716,
19,10,1981,24.64,12.79,82.12,1.75,15.22,0.00,3.18,0.4871567169158615,
20,10,1981,26.83,13.79,77.13,1.91,15.14,0.00,2.95,0.3319541143351554,
21,10,1981,24.00,13.42,82.68,1.52,14.79,0.00,1.67,0.26573698154569825,
22,10,1981,20.72,13.53,84.56,1.12,11.68,0.05,2.12,0.3346649446111669,
23,10,1981,22.77,13.62,81.87,1.38,12.95,1.03,3.71,0.5947589292075943,
24,10,1981,23.52,14.08,68.89,1.63,13.29,0.10,3.61,0.5026386301753887,
25,10,1981,21.97,12.92,71.60,1.34,14.83,0.00,5.25,0.5677447218199649,
26,10,1981,22.75,10.59,67.24,1.20,14.80,0.00,5.04,0.4971890050039849,
27,10,1981,22.52,10.46,71.00,0.99,14.58,0.00,3.32,0.3855798312096801,
28,10,1981,22.12,10.38,77.15,0.80,14.12,0.00,2.94,0.43400076304291124,
29,10,1981,22.23,10.73,74.56,0.73,13.99,0.00,4.35,0.45000081516839163,
30,10,1981,22.67,10.96,74.15,0.69,13.87,0.00,3.67,0.4317551145256293,
31,10,1981,22.15,10.75,74.63,0.62,13.81,0.00,2.47,0.5006308397619736,
